stage,shot,alpha,num_aug,augmentations,train_steps,weight_decay,map_acc,map_ci95,frofa_acc,frofa_ci95,gain
val,1,0.1,4,brightness,40,0.01,41.511112029353775,1.756057530224794,41.655556385715805,1.6165372774460955,0.14444435636202968
val,5,0.1,4,brightness,40,0.01,67.27777923146884,1.9952224106627015,67.81111255288124,1.977501732041995,0.5333333214123996
val,1,0.1,4,brightness+posterize,40,0.01,41.511112029353775,1.756057530224794,41.744445599615574,1.7755212212945228,0.23333357026179868
val,5,0.1,4,brightness+posterize,40,0.01,67.27777923146884,1.9952224106627015,67.60000176727772,1.9944322616183097,0.3222225358088764
val,1,0.1,4,brightness+contrast,40,0.01,41.511112029353775,1.756057530224794,42.200000981489815,1.6596463821606235,0.6888889521360397
val,5,0.1,4,brightness+contrast,40,0.01,67.27777923146884,1.9952224106627015,67.4222236375014,2.08909533657166,0.14444440603256226
val,1,0.1,8,brightness,40,0.01,41.511112029353775,1.756057530224794,42.13333456466595,1.6325536000903185,0.6222225353121758
val,5,0.1,8,brightness,40,0.01,67.27777923146884,1.9952224106627015,68.1333348651727,2.0546240030466327,0.8555556337038581
val,1,0.1,8,brightness+posterize,40,0.01,41.511112029353775,1.756057530224794,42.16666763027509,1.7269832185957104,0.6555556009213177
val,5,0.1,8,brightness+posterize,40,0.01,67.27777923146884,1.9952224106627015,67.85555697977543,2.0888807483295833,0.5777777483065876
val,1,0.1,8,brightness+contrast,40,0.01,41.511112029353775,1.756057530224794,41.611112020909786,1.6001527570209613,0.09999999155601103
val,5,0.1,8,brightness+contrast,40,0.01,67.27777923146884,1.9952224106627015,67.81111252804597,1.988595683782964,0.5333332965771262
val,1,0.2,4,brightness,40,0.01,41.511112029353775,1.756057530224794,42.4000009521842,1.7062375393960578,0.8888889228304251
val,5,0.2,4,brightness,40,0.01,67.27777923146884,1.9952224106627015,68.72222368915875,1.9701357913587334,1.4444444576899116
val,1,0.2,4,brightness+posterize,40,0.01,41.511112029353775,1.756057530224794,41.81111215303341,1.754657803120855,0.3000001236796379
val,5,0.2,4,brightness+posterize,40,0.01,67.27777923146884,1.9952224106627015,68.40000140170257,2.0483762498420512,1.1222221702337265
val,1,0.2,4,brightness+contrast,40,0.01,41.511112029353775,1.756057530224794,41.55555645624796,1.7640463424166126,0.04444442689418793
val,5,0.2,4,brightness+contrast,40,0.01,67.27777923146884,1.9952224106627015,68.80000156660874,2.0338018335896724,1.522222335139901
val,1,0.2,8,brightness,40,0.01,41.511112029353775,1.756057530224794,42.46666765461365,1.7494315368380187,0.9555556252598763
val,5,0.2,8,brightness,40,0.01,67.27777923146884,1.9952224106627015,69.96666826307774,1.9122546851170479,2.6888890316088947
val,1,0.2,8,brightness+posterize,40,0.01,41.511112029353775,1.756057530224794,42.20000105599562,1.7456000558462128,0.6888890266418457
val,5,0.2,8,brightness+posterize,40,0.01,67.27777923146884,1.9952224106627015,69.74444605410099,2.023049453120464,2.466666822632149
val,1,0.2,8,brightness+contrast,40,0.01,41.511112029353775,1.756057530224794,43.01111212621132,1.7608341269037808,1.5000000968575478
val,5,0.2,8,brightness+contrast,40,0.01,67.27777923146884,1.9952224106627015,68.97777952253819,1.9877387075224109,1.700000291069344
val,1,0.3,4,brightness,40,0.01,41.511112029353775,1.756057530224794,40.82222313930591,1.6592237036238102,-0.6888888900478634
val,5,0.3,4,brightness,40,0.01,67.27777923146884,1.9952224106627015,70.1000016182661,1.9816973640419242,2.8222223867972644
val,1,0.3,4,brightness+posterize,40,0.01,41.511112029353775,1.756057530224794,41.55555645624796,1.6445012950390012,0.04444442689418793
val,5,0.3,4,brightness+posterize,40,0.01,67.27777923146884,1.9952224106627015,69.74444600443046,2.0016600247383676,2.4666667729616165
val,1,0.3,4,brightness+contrast,40,0.01,41.511112029353775,1.756057530224794,41.766667465368904,1.780461594164841,0.2555554360151291
val,5,0.3,4,brightness+contrast,40,0.01,67.27777923146884,1.9952224106627015,69.35555716355641,1.97064250213974,2.077777932087571
val,1,0.3,8,brightness,40,0.01,41.511112029353775,1.756057530224794,42.17777855694294,1.7374392385279824,0.6666665275891646
val,5,0.3,8,brightness,40,0.01,67.27777923146884,1.9952224106627015,71.03333483139674,2.0656655391211185,3.755555599927902
val,1,0.3,8,brightness+posterize,40,0.01,41.511112029353775,1.756057530224794,42.77777871737877,1.807499371078577,1.2666666880249977
val,5,0.3,8,brightness+posterize,40,0.01,67.27777923146884,1.9952224106627015,69.22222363452117,2.00280355641643,1.94444440305233
val,1,0.3,8,brightness+contrast,40,0.01,41.511112029353775,1.756057530224794,42.61111201097568,1.727629226510586,1.099999981621906
val,5,0.3,8,brightness+contrast,40,0.01,67.27777923146884,1.9952224106627015,70.24444567660491,1.8908818663484268,2.9666664451360703
test,1,0.3,8,brightness,40,0.01,42.18666762858629,0.8163942130941702,43.96000096946955,0.8544619217001198,1.773333340883255
test,5,0.3,8,brightness,40,0.01,68.87777929008007,0.8842706320224814,72.8933349053065,0.8328752153974217,4.0155556152264325
